No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
1,20.0084,692.0004,618.9299,618.9299,300.3550, ,4.43414
2,20.0254,625.6895,618.0074,618.0074,300.3550, ,4.43042
3,20.0424,610.9354,617.0848,617.0848,300.3550, ,4.42670
4,20.0594,634.5142,616.1622,616.1622,300.3550, ,4.42298
5,20.0764,608.5200,615.2396,615.2396,300.3550, ,4.41928
6,20.0934,615.6571,614.3170,614.3170,300.3550, ,4.41558
7,20.1104,623.7628,613.3944,613.3944,300.3550, ,4.41188
8,20.1274,627.9095,612.4719,612.4719,300.3550, ,4.40819
9,20.1444,611.9301,611.5493,611.5493,300.3550, ,4.40451
10,20.1614,606.0551,610.6267,610.6267,300.3550, ,4.40084
11,20.1784,616.7025,609.7041,609.7041,300.3550, ,4.39717
12,20.1954,637.6345,608.7815,608.7815,300.3550, ,4.39350
13,20.2124,615.6538,607.8590,607.8590,300.3550, ,4.38985
14,20.2294,559.9325,606.9364,606.9364,300.3550, ,4.38620
15,20.2464,592.1901,606.0138,606.0138,300.3550, ,4.38255
16,20.2634,619.8507,605.0912,605.0912,300.3550, ,4.37891
17,20.2804,618.8850,604.1686,604.1686,300.3550, ,4.37528
18,20.2974,600.9795,603.2461,603.2461,300.3550, ,4.37165
19,20.3144,592.5467,602.3235,602.3235,300.3550, ,4.36803
20,20.3314,584.7063,601.4009,601.4009,300.3550, ,4.36442
21,20.3484,584.6589,600.4783,600.4783,300.3550, ,4.36081
22,20.3654,575.8749,599.5557,599.5557,300.3550, ,4.35721
23,20.3824,592.1755,598.6332,598.6332,300.3550, ,4.35362
24,20.3994,644.8590,597.7106,597.7106,300.3550, ,4.35003
25,20.4164,632.0868,596.7880,596.7880,300.3550, ,4.34644
26,20.4334,604.1900,595.8654,595.8654,300.3550, ,4.34286
27,20.4504,607.1225,594.9428,594.9428,300.3550, ,4.33929
28,20.4674,604.9144,594.0202,594.0202,300.3550, ,4.33573
29,20.4844,583.4162,593.0977,593.0977,300.3550, ,4.33217
30,20.5014,581.9943,592.1751,592.1751,300.3550, ,4.32861
31,20.5184,580.0731,591.4681,591.4681,300.3550, ,4.32506
32,20.5354,566.0392,590.7611,590.7611,300.3550, ,4.32152
33,20.5524,575.9066,590.0542,590.0542,300.3550, ,4.31799
34,20.5694,619.8610,589.3472,589.3472,300.3550, ,4.31446
